 : 5
ccjh907007 : 3
ccjh907008 : 3
ccjh907009 : 4
ccjh907010 : 4
ccjh907011 : 4
ccjh907012 : 5
ccjh907025 : 6
ccjh907026 : 5
ccjh907027 : 4
ccjh907028 : 6
ccjh907029 : 1
ccjh907030 : 4
ccjh907031 : 0
ccjh907032 : 1
ccjh907033 : 3
ccjh907034 : 0
ccjh907035 : 3
ccjh907036 : 5
ccjh907038 : 5
ccjh907039 : 3
ccjh908001 : 8
ccjh908002 : 3
ccjh908003 : 5
ccjh908004 : 3
ccjh908008 : 6
ccjh908009 : 0
ccjh908010 : 3
ccjh908011 : 1
ccjh908012 : 2
ccjh908013 : 0
ccjh908014 : 6
ccjh908023 : 6
ccjh908024 : 3
ccjh908025 : 5
ccjh908026 : 3
ccjh908027 : 5
ccjh908028 : 4
ccjh908029 : 1
ccjh908030 : 4
ccjh908031 : 5
ccjh908032 : 2
ccjh908033 : 2
ccjh908034 : 4
ccjh908035 : 7
ccjh908036 : 8
ccjh908037 : 5
ccjh908038 : 0
ccjh908039 : 1
ccjh908040 : 2
ccjh909001 : 3
ccjh909002 : 7
ccjh909003 : 4
ccjh909004 : 2
ccjh909005 : 3
ccjh909006 : 2
ccjh909008 : 3
ccjh909010 : 4
ccjh909011 : 1
ccjh909012 : 3
ccjh909013 : 5
ccjh909015 : 3
ccjh909025 : 6
ccjh909026 : 2
ccjh909027 : 3
ccjh909028 : 1
ccjh909029 : 6
ccjh909030 : 2
ccjh909031 : 2
ccjh909032 : 1
ccjh909033 : 3
ccjh909034 : 0
ccjh909035 : 4
ccjh909036 : 3
ccjh909037 : 4
ccjh909038 : 4
ccjh909039 : 4
ccjh909040 : 5
ccjh910001 : 6
ccjh910002 : 2
ccjh910003 : 6
ccjh910004 : 6
ccjh910005 : 2
ccjh910006 : 3
ccjh910007 : 5
ccjh910008 : 3
ccjh910009 : 5
ccjh910010 : 2
ccjh910011 : 4
ccjh910012 : 4
ccjh910013 : 1
ccjh910014 : 5
ccjh910025 : 0
ccjh910027 : 3
ccjh910028 : 3
ccjh910029 : 2
ccjh910030 : 6
ccjh910031 : 1
ccjh910032 : 3
ccjh910033 : 1
ccjh910034 : 3
ccjh910035 : 4
ccjh910036 : 4
ccjh910037 : 2
ccjh910038 : 2
ccjh910039 : 2
cd01001 : 11
cd01002 : 3
cd01003 : 5
cd01004 : 4
cd01005 : 3
cd01006 : 9
cd01007 : 3
cd01008 : 4
cd01009 : 7
cd01010 : 4
cd01012 : 2
cd01013 : 3
cd01014 : 4
cd01016 : 7
cd01017 : 7
cd01018 : 3
cd01019 : 4
cd01020 : 5
cd01021 : 9
cd01022 : 7
cd01023 : 5
cd02001 : 3
cd02002 : 7
cd02003 : 3
cd02004 : 7
cd02005 : 2
cd02006 : 6
cd02008 : 7
cd02009 : 4
cd02010 : 6
cd02011 : 6
cd02012 : 6
cd02013 : 7
cd02014 : 6
cd02015 : 3
cd02016 : 2
cd02018 : 7
cd02019 : 8
cd02020 : 6
cd02021 : 3
cd02022 : 4
cd02023 : 7
cd02024 : 5
cd02025 : 2
cd03002 : 3
cd03003 : 6
cd03004 : 4
cd03005 : 5
cd03006 : 5
cd03007 : 4
cd03008 : 4
cd03009 : 2
cd03010 : 5
cd03011 : 6
cd03012 : 5
cd03013 : 7
cd03014 : 3
cd03015 : 3
cd03016 : 4
cd03017 : 4
cd03018 : 5
cd03019 : 6
cd03020 : 7
cd03021 : 3
cd03022 : 4
cd03023 : 5
cd03024 : 5
cd03026 : 2
cd04001 : 7
cd04002 : 8
cd04003 : 3
cd04004 : 2
cd04005 : 8
cd04006 : 3
cd04007 : 2
cd04008 : 1
cd04009 : 5
cd04011 : 0
cd04012 : 7
cd04013 : 5
cd04014 : 4
cd04015 : 10
cd04016 : 3
cd04017 : 4
cd04018 : 5
cd04019 : 1
cd04020 : 3
cd04021 : 0
cd04022 : 3
cd04023 : 4
cd04024 : 5
cd05001 : 8
cd05003 : 6
cd05004 : 5
cd05005 : 6
cd05006 : 6
cd05007 : 7
cd05008 : 5
cd05009 : 5
cd05011 : 5
cd05012 : 5
cd05013 : 4
cd05014 : 6
cd05015 : 4
cd05016 : 6
cd05017 : 3
cd05018 : 5
cd05019 : 3
cd05020 : 4
cd05021 : 4
cd05022 : 4
cd05023 : 5
cd05024 : 5
cd05025 : 5
cd05026 : 2
cd06001 : 5
cd06002 : 14
cd06003 : 5
cd06004 : 0
cd06005 : 2
cd06006 : 4
cd06007 : 4
cd06008 : 1
cd06009 : 4
cd06010 : 2
cd06012 : 3
cd06013 : 6
cd06014 : 5
cd06015 : 3
cd06016 : 5
cd06017 : 5
cd06018 : 7
cd06019 : 0
cd06020 : 1
